Price,Type,Year
-55.29078000321371,Electricity Export,2021
-53.35078200321371,Electricity Export,2021
-52.04078000321371,Electricity Export,2021
-47.630780003213715,Electricity Export,2021
-44.640782003213715,Electricity Export,2021
-49.31078100321371,Electricity Export,2021
-53.60078200321371,Electricity Export,2021
-58.16078300321371,Electricity Export,2021
-59.41078300321371,Electricity Export,2021
-58.00078300321371,Electricity Export,2021
-52.960782003213716,Electricity Export,2021
-48.65078100321371,Electricity Export,2021
-44.52078400321371,Electricity Export,2021
-41.41078300321371,Electricity Export,2021
-40.640782003213715,Electricity Export,2021
-39.010781003213715,Electricity Export,2021
-37.67078100321371,Electricity Export,2021
-36.580781003213716,Electricity Export,2021
-33.48078300321371,Electricity Export,2021
-36.710782003213716,Electricity Export,2021
-39.70078400321371,Electricity Export,2021
-41.97078000321371,Electricity Export,2021
-47.36078400321371,Electricity Export,2021
-56.35078200321371,Electricity Export,2021
-56.43078300321371,Electricity Export,2021
-56.40078100321371,Electricity Export,2021
-53.75078300321371,Electricity Export,2021
-49.22078000321371,Electricity Export,2021
-46.61078400321371,Electricity Export,2021
-46.67078100321371,Electricity Export,2021
-55.20078400321371,Electricity Export,2021
-59.20078400321371,Electricity Export,2021
-60.27078400321371,Electricity Export,2021
-58.24078100321371,Electricity Export,2021
-51.40078100321371,Electricity Export,2021
-45.580781003213716,Electricity Export,2021
-45.60078200321371,Electricity Export,2021
-40.92078100321371,Electricity Export,2021
-40.70078400321371,Electricity Export,2021
-39.60078200321371,Electricity Export,2021
-39.130780003213715,Electricity Export,2021
-38.12078200321371,Electricity Export,2021
-37.23078300321371,Electricity Export,2021
-39.03078200321371,Electricity Export,2021
-38.99078100321371,Electricity Export,2021
-39.91078300321371,Electricity Export,2021
-43.47078000321371,Electricity Export,2021
-47.77078400321371,Electricity Export,2021
-49.35078200321371,Electricity Export,2021
-49.760781003213715,Electricity Export,2021
-48.99078100321371,Electricity Export,2021
-44.85078200321371,Electricity Export,2021
